i я
he він
it воно
in у
his його
with з
not не
for для
on на
at біля
but але
she вона
him йому
as як
are є
said сказав
they вони
we ми
all всі
this цей
have мати
there там
what що
out з
up вгору
one один
from з
me мене
go іти
were були
would би
like подобатися
when коли
could міг
then потім
be бути
them їм
did робив
been був
now тепер
look дивитися
back назад
my мій
no ні
your твій
which котрий
about про
time час
down вниз
into у
who хто
can могти
know знати
if якщо
their їхній
get Отримувати
over над
more більше
some декілька
man чоловік
come приходити
so отже
other інший
little маленький
see бачити
here тут
thing річ
hand рука
by біля
will буду
way шлях
again знову
right правий
only тільки
am є
how як
think думати
or або
got отримав
good хороший
eye око
well добре
thought думав
day день
two два
than ніж
is є
also також
off поза(чимось)
away прочь
